event_name,event_date,event_time,venue,address,city,price_min,price_max,category,free_or_paid,status,event_url,image_url,recommendation
David Ostwald's Louis Armstrong Eternity Band,2026-01-14,17:30:00,Birdland Theater,315 West 44th Street,New York,35.46,45.76,Music,Paid,onsale,https://www.ticketweb.com/event/david-ostwalds-louis-armstrong-eternity-birdland-theater-tickets/14622293,https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
The Altogether,2026-01-14,18:00:00,Mercury Lounge,217 East Houston St.,New York,,,Music,Free,onsale,https://www.ticketmaster.com/the-altogether-new-york-new-york-01-14-2026/event/00006378CE47C835,https://s1.ticketm.net/dam/e/d0f/1faec770-8e4c-4a19-a12f-ba2e23edcd0f_RECOMENDATION_16_9.jpg,Not Recommended (Outdoor)
"Boris & The Mess, Regular Degular",2026-01-14,19:00:00,Night Club 101,101 Avenue A,New York,21.56,21.56,Music,Paid,onsale,https://www.ticketweb.com/event/boris-the-mess-regular-night-club-101-tickets/14682143,https://s1.ticketm.net/dam/c/797/5e693c26-2881-4776-8f0c-3aa94bfa3797_106511_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
Delfeayo Marsalis & The Uptown Jazz Orchestra,2026-01-14,19:00:00,Birdland Jazz Club,315 West 44th Street ,New York,45.76,56.06,Music,Paid,onsale,https://www.ticketweb.com/event/delfeayo-marsalis-the-uptown-birdland-jazz-club-tickets/14624513,https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
99 minutes or less,2026-01-14,19:00:00,Night Club 101,101 Avenue A,New York,0.0,0.0,Music,Paid,onsale,https://www.ticketweb.com/event/99-minutes-or-less-night-club-101-tickets/14055564,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
"East Side Dance Company Presents - Watch Us Dance, Hear Us Speak",2026-01-14,19:00:00,Town Hall,123 West 43rd Street,New York,,,Music,Free,onsale,https://www.ticketmaster.com/east-side-dance-company-presents-watch-new-york-new-york-01-14-2026/event/0300636EC5922713,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
Halsey: Back To Badlands,2026-01-14,20:00:00,Manhattan Center Hammerstein Ballroom,311 West 34th Street,New York,,,Music,Free,onsale,https://www.ticketmaster.com/halsey-back-to-badlands-new-york-new-york-01-14-2026/event/0000631C9BDF21DC,https://s1.ticketm.net/dam/a/36a/2a4ad78b-9c0b-472d-9999-fbfd949e136a_CUSTOM.jpg,Recommended (Indoor)
Perfume | Washer/Dryer,2026-01-14,20:00:00,The Bowery Electric,327 Bowery,New York,17.45,17.45,Music,Paid,onsale,https://www.ticketweb.com/event/perfume-washerdryer-the-bowery-electric-tickets/13988424,https://s1.ticketm.net/dam/c/f6d/6f417e97-2981-4605-a837-a307d33e3f6d_105491_TABLET_LANDSCAPE_LARGE_16_9.jpg,Not Recommended (Outdoor)
Trio with Nate Smith & James Francies,2026-01-14,20:00:00,Blue Note Jazz Club,131 W. 3rd St,New York,38.1,54.99,Music,Paid,onsale,https://www.ticketweb.com/event/trio-with-nate-smith-blue-note-jazz-club-tickets/14641283,https://s1.ticketm.net/dam/a/0fb/303dacfb-5747-45d3-aa65-e699bb2d60fb_RETINA_LANDSCAPE_16_9.jpg,Recommended (Indoor)
Avery*Sunshine,2026-01-14,20:00:00,Sony Hall,235 W 46th St,New York,52.39,93.7,Music,Paid,onsale,https://www.ticketweb.com/event/averysunshine-sony-hall-tickets/14610733,https://s1.ticketm.net/dam/a/8fe/ad8b08c5-ebcd-44ae-b5a3-58442a4b98fe_SOURCE,Recommended (Indoor)
Thirsty Pirates | Sean Yox & The Streamers | Jynx and Dino,2026-01-14,20:00:00,Berlin,25 Avenue A,New York,24.88,24.88,Music,Paid,onsale,https://www.ticketweb.com/event/thirsty-pirates-sean-yox-berlin-tickets/14056784,https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_RETINA_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
Frank Vignola's Guitar Night with Mike Stern,2026-01-14,20:30:00,Birdland Theater,315 West 44th Street,New York,35.46,45.76,Music,Paid,onsale,https://www.ticketweb.com/event/frank-vignolas-guitar-night-with-birdland-theater-tickets/14622353,https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
Nick Dunbar,2026-01-14,20:30:00,Lucinda's,169 Avenue A,New York,0.0,0.0,Music,Paid,onsale,https://www.ticketweb.com/event/nick-dunbar-lucindas-tickets/14064364,https://s1.ticketm.net/dam/c/677/c58dd0af-cda8-49b2-bdaf-068540c3a677_106541_RETINA_PORTRAIT_16_9.jpg,Not Recommended (Outdoor)
Delfeayo Marsalis & The Uptown Jazz Orchestra,2026-01-14,21:30:00,Birdland Jazz Club,315 West 44th Street ,New York,45.76,56.06,Music,Paid,onsale,https://www.ticketweb.com/event/delfeayo-marsalis-the-uptown-birdland-jazz-club-tickets/14624553,https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
"The Roomtones, Paul Babe, John Dorney",2026-01-14,22:00:00,Night Club 101,101 Avenue A,New York,21.56,21.56,Music,Paid,onsale,https://www.ticketweb.com/event/the-roomtones-paul-babe-john-night-club-101-tickets/14003204,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
Trio with Nate Smith & James Francies,2026-01-14,22:30:00,Blue Note Jazz Club,131 W. 3rd St,New York,38.1,54.99,Music,Paid,onsale,https://www.ticketweb.com/event/trio-with-nate-smith-blue-note-jazz-club-tickets/14641293,https://s1.ticketm.net/dam/a/0fb/303dacfb-5747-45d3-aa65-e699bb2d60fb_RETINA_LANDSCAPE_16_9.jpg,Recommended (Indoor)
New York Rangers vs. Ottawa Senators,2026-01-14,19:30:00,Madison Square Garden,7th Ave & 32nd Street,New York,,,Sports,Free,onsale,https://www.ticketmaster.com/new-york-rangers-vs-ottawa-senators-new-york-new-york-01-14-2026/event/3B0062F0AC211676,https://s1.ticketm.net/dam/a/ea0/6f2e2a07-db6a-4f14-85ed-ee9ec4970ea0_RECOMENDATION_16_9.jpg,Not Recommended (Outdoor)
Banksy Museum - Flexiticket,2026-01-14,10:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/banksy-museum-flexiticket-tickets-F7XJ8T?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,11:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,offsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,11:30:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,offsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,12:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,offsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,12:30:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,offsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,13:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,13:30:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,14:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
Buena Vista Social Club,2026-01-14,14:00:00,Gerald Schoenfeld Theatre,236 W 45th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/buena-vista-social-club-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17JZZy,https://s1.ticketm.net/dam/a/297/f67d2610-8a53-4698-bd54-b163aa1de297_RECOMENDATION_16_9.jpg,Recommended (Indoor)
Two Strangers (Carry a Cake Across New York),2026-01-14,14:00:00,Longacre Theatre,220 W 48th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/two-strangers-carry-a-cake-across-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17JZfa,https://s1.ticketm.net/dam/a/82d/a7b4fe06-8a3d-47b9-a514-6846cd3e682d_ARTIST_PAGE_3_2.jpg,Recommended (Indoor)
Liberation,2026-01-14,14:00:00,James Earl Jones Theatre,138 W 48th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/liberation-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17JZut,https://s1.ticketm.net/dam/a/f6a/501e9525-2fde-4afa-817f-3c4d00bc3f6a_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
Ragtime,2026-01-14,14:00:00,Lincoln Center - Vivian Beaumont Theater,150 W 65th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/ragtime-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17JdCp,https://s1.ticketm.net/dam/a/7c8/864da3e6-40b1-4efe-b2fb-9b0418d8f7c8_CUSTOM.jpg,Recommended (Indoor)
Bug,2026-01-14,14:00:00,Samuel J Friedman Theatre,"261 W 47th St,",New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/bug-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17JeZt,https://s1.ticketm.net/dam/a/590/8d7fab1e-b854-406c-852f-ebc271b77590_RECOMENDATION_16_9.jpg,Recommended (Indoor)
Chess,2026-01-14,14:00:00,Imperial Theatre,249 W 45th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/chess-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17PMQ_,https://s1.ticketm.net/dam/a/0bb/49e0dc62-53a4-4f6e-a45b-8308406bb0bb_TABLET_LANDSCAPE_LARGE_16_9.jpg,Recommended (Indoor)
The Outsiders,2026-01-14,14:00:00,Bernard B. Jacobs Theatre,242 W 45th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/the-outsiders-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17PYj9,https://s1.ticketm.net/dam/a/24b/ab9bc062-6e29-42eb-9131-3cb9efdb324b_RETINA_PORTRAIT_3_2.jpg,Recommended (Indoor)
Just In Time,2026-01-14,14:00:00,Circle In The Square Theatre,235 W 50th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/just-in-time-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17PbGa,https://s1.ticketm.net/dam/a/8f3/75921a17-32f8-4bb1-a809-e17c8a1078f3_RETINA_PORTRAIT_3_2.jpg,Recommended (Indoor)
Mamma Mia!,2026-01-14,14:00:00,Winter Garden Theatre,1634 Broadway,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/mamma-mia-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17PsaY,https://s1.ticketm.net/dam/a/561/c77ee4cf-3488-47de-91d0-39565e85f561_EVENT_DETAIL_PAGE_16_9.jpg,Recommended (Indoor)
Operation Mincemeat: A New Musical,2026-01-14,14:00:00,John Golden Theatre,252 W 45th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/operation-mincemeat-a-new-musical-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17Pso6,https://s1.ticketm.net/dam/a/a2d/af40159e-2f5b-4149-a62d-0606e553ba2d_CUSTOM.jpg,Recommended (Indoor)
Hell's Kitchen,2026-01-14,14:00:00,Shubert Theatre,225 W 44th St,New York,,,Arts & Theatre,Free,offsale,https://www.ticketmaster.com/hells-kitchen-new-york-new-york-01-14-2026/event/Z1r9uZruZqGZ17PwuI,https://s1.ticketm.net/dam/a/645/c91eedca-59e8-4f7e-8873-f438db4eb645_RETINA_PORTRAIT_3_2.jpg,Recommended (Indoor)
The Banksy Museum New York!,2026-01-14,14:30:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,15:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Magic of Rob Lake,2026-01-14,15:00:00,Broadhurst Theatre,235 W. 44th Street,New York,,,Arts & Theatre,Free,onsale,https://www.ticketmaster.com/event/Z7r9jZ1A7jvq8,https://s1.ticketm.net/dam/a/771/0b7b55af-acbb-4c0c-9571-3bee973f4771_451541_RETINA_PORTRAIT_3_2.jpg,Recommended (Indoor)
The Banksy Museum New York!,2026-01-14,15:30:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,16:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,16:30:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,17:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,17:30:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,18:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Banksy Museum New York!,2026-01-14,18:30:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
The Disappear,2026-01-14,19:00:00,Audible's Minetta Lane Theatre,18 Minetta Lane,New York,,,Arts & Theatre,Free,onsale,https://www.ticketmaster.com/the-disappear-new-york-new-york-01-14-2026/event/30006364DEF0603F,https://s1.ticketm.net/dam/a/d29/899cc93f-5e9d-4621-b1ed-86e5e7d89d29_RETINA_PORTRAIT_3_2.jpg,Recommended (Indoor)
The Banksy Museum New York!,2026-01-14,19:00:00,Banksy Museum New York,277 Canal St,New York,,,Arts & Theatre,Free,onsale,https://www.universe.com/events/the-banksy-museum-new-york-tickets-5PKNY0?ref=ticketmaster,https://s1.ticketm.net/dam/a/438/d47dcb31-a7ee-4820-aa73-cc46f2473438_TABLET_LANDSCAPE_16_9.jpg,Not Recommended (Outdoor)
"Six (New York, NY)",2026-01-14,19:00:00,Lena Horne Theatre,256 West 47th Street,New York,,,Arts & Theatre,Free,onsale,https://www.ticketmaster.com/six-new-york-ny-new-york-new-york-01-14-2026/event/Z1r9uZrrZbpZ1Av474O,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
Death Becomes Her,2026-01-14,19:00:00,Lunt-Fontanne Theatre,205 West 46th Street,New York,,,Arts & Theatre,Free,onsale,https://www.ticketmaster.com/death-becomes-her-new-york-new-york-01-14-2026/event/Z1r9uZrrZbpZ1Av4Ep4,https://s1.ticketm.net/dam/a/62a/cbfce925-8919-4c5f-9efb-9472f842e62a_SOURCE,Recommended (Indoor)
"Guyscrapers, Billy Plastered, Darlin'",2026-01-15,10:00:00,Night Club 101,101 Avenue A,New York,21.56,21.56,Music,Paid,onsale,https://www.ticketweb.com/event/guyscrapers-billy-plastered-darlin-night-club-101-tickets/13973964,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
The High Society New Orleans Jazz Band,2026-01-15,17:30:00,Birdland Theater,315 West 44th Street,New York,35.46,45.76,Music,Paid,onsale,https://www.ticketweb.com/event/the-high-society-new-orleans-birdland-theater-tickets/14621873,https://s1.ticketm.net/dam/c/779/d4bc7e11-1b50-4aa4-a2be-0a21569f5779_106531_RETINA_LANDSCAPE_16_9.jpg,Recommended (Indoor)
"Ditto., Lydia von Hof, Lizzy Hilliard",2026-01-15,18:00:00,Mercury Lounge,217 East Houston St.,New York,,,Music,Free,onsale,https://www.ticketmaster.com/ditto-lydia-von-hof-lizzy-hilliard-new-york-new-york-01-15-2026/event/00006382A98F9663,https://s1.ticketm.net/dam/a/579/a5200a2c-7184-4521-b023-eb423882f579_RETINA_PORTRAIT_16_9.jpg,Not Recommended (Outdoor)
I Puritani w/ Metropolitan Opera,2026-01-15,19:00:00,Metropolitan Opera House,20 Lincoln Center Plz,New York,,,Music,Free,onsale,https://www.ticketmaster.com/event/Z7r9jZ1A7_0PA,https://s1.ticketm.net/dam/c/aae/b503db1a-c908-473b-a218-96d123cd5aae_105501_TABLET_LANDSCAPE_3_2.jpg,Not Recommended (Outdoor)
"NORY, Kaya Kulu",2026-01-15,19:00:00,Night Club 101,101 Avenue A,New York,23.62,23.62,Music,Paid,onsale,https://www.ticketweb.com/event/nory-kaya-kulu-night-club-101-tickets/14681563,https://i.ticketweb.com/i/00/13/30/17/73_Edp.jpg?v=6,Recommended (Indoor)
Delfeayo Marsalis & The Uptown Jazz Orchestra,2026-01-15,19:00:00,Birdland Jazz Club,315 West 44th Street ,New York,45.76,56.06,Music,Paid,onsale,https://www.ticketweb.com/event/delfeayo-marsalis-the-uptown-birdland-jazz-club-tickets/14624523,https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
The Lefty Lucys | Claire-Frances Sullivan,2026-01-15,19:00:00,Berlin,25 Avenue A,New York,12.44,12.44,Music,Paid,onsale,https://www.ticketweb.com/event/the-lefty-lucys-claire-berlin-tickets/14048494,https://s1.ticketm.net/dam/c/797/5e693c26-2881-4776-8f0c-3aa94bfa3797_106511_RETINA_PORTRAIT_16_9.jpg,Not Recommended (Outdoor)
minor genius,2026-01-15,19:00:00,Night Club 101,101 Avenue A,New York,0.0,0.0,Music,Paid,onsale,https://www.ticketweb.com/event/minor-genius-night-club-101-tickets/14074504,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
"East Side Dance Company Presents - Watch Us Dance, Hear Us Speak",2026-01-15,19:00:00,Town Hall,123 West 43rd Street,New York,,,Music,Free,onsale,https://www.ticketmaster.com/east-side-dance-company-presents-watch-new-york-new-york-01-15-2026/event/0300636EC5942717,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
